127.0.0.1, 2018-11-28 22:29:03, GET, /admin/default/site, HTTP/1.1, 200, 0.026000
127.0.0.1, 2018-11-28 22:29:04, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-11-28 22:29:21, POST, /admin/default/site, HTTP/1.1, 200, 0.179000
127.0.0.1, 2018-11-28 22:29:21, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-11-28 22:29:35, POST, /admin/default/site, HTTP/1.1, 303, 0.877000
127.0.0.1, 2018-11-28 22:29:35, GET, /admin/default/site, HTTP/1.1, 200, 0.122000
127.0.0.1, 2018-11-28 22:29:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-11-28 22:29:38, GET, /REVIEW_1/default/index, HTTP/1.1, 200, 0.170000
127.0.0.1, 2018-11-28 22:29:38, GET, /REVIEW_1/static/css/stupid.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-11-28 22:29:38, GET, /REVIEW_1/static/css/calendar.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-11-28 22:29:38, GET, /REVIEW_1/static/css/custom.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-11-28 22:29:38, GET, /REVIEW_1/static/css/web2py.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-11-28 22:29:38, GET, /REVIEW_1/static/css/myapp.css, HTTP/1.1, 200, 0.008000
127.0.0.1, 2018-11-28 22:29:38, GET, /REVIEW_1/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.008000
127.0.0.1, 2018-11-28 22:29:38, GET, /REVIEW_1/static/js/jquery.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-11-28 22:29:38, GET, /REVIEW_1/static/js/calendar.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-11-28 22:29:38, GET, /REVIEW_1/static/js/web2py.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-11-28 22:29:38, GET, /REVIEW_1/static/js/vue.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-11-28 22:29:38, GET, /REVIEW_1/static/js/default_index.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-11-28 22:29:38, GET, /REVIEW_1/static/js/marked.min.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-11-28 22:29:38, GET, /REVIEW_1/static/js/vue.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-11-28 22:29:39, GET, /REVIEW_1/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-11-28 22:29:39, GET, /REVIEW_1/api/get_post_list, HTTP/1.1, 200, 0.042000
127.0.0.1, 2018-11-28 22:29:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-11-28 22:29:39, GET, /REVIEW_1/api/get_thumbers, HTTP/1.1, 200, 0.436000
127.0.0.1, 2018-11-28 22:29:39, GET, /REVIEW_1/api/get_thumbers, HTTP/1.1, 200, 0.443000
127.0.0.1, 2018-11-28 22:29:39, GET, /REVIEW_1/api/get_thumbers, HTTP/1.1, 200, 0.443000
127.0.0.1, 2018-11-28 22:29:39, GET, /REVIEW_1/api/get_thumbers, HTTP/1.1, 200, 0.450000
127.0.0.1, 2018-11-28 22:29:39, GET, /REVIEW_1/api/get_thumbers, HTTP/1.1, 200, 0.457000
127.0.0.1, 2018-11-28 22:29:42, GET, /REVIEW_1/api/get_reply_list, HTTP/1.1, 200, 0.026000
127.0.0.1, 2018-11-28 22:29:45, POST, /REVIEW_1/api/add_reply, HTTP/1.1, 303, 0.049000
127.0.0.1, 2018-11-28 22:29:45, GET, /REVIEW_1/default/user/not_authorized, HTTP/1.1, 403, 0.032000
127.0.0.1, 2018-11-28 22:29:47, POST, /REVIEW_1/api/add_reply, HTTP/1.1, 303, 0.056000
127.0.0.1, 2018-11-28 22:29:47, GET, /REVIEW_1/default/user/not_authorized, HTTP/1.1, 403, 0.044000
127.0.0.1, 2018-11-28 22:29:47, POST, /REVIEW_1/api/add_reply, HTTP/1.1, 303, 0.027000
127.0.0.1, 2018-11-28 22:29:47, GET, /REVIEW_1/default/user/not_authorized, HTTP/1.1, 403, 0.021000
127.0.0.1, 2018-11-28 22:29:48, POST, /REVIEW_1/api/add_reply, HTTP/1.1, 303, 0.072000
127.0.0.1, 2018-11-28 22:29:48, GET, /REVIEW_1/default/user/not_authorized, HTTP/1.1, 403, 0.020000
127.0.0.1, 2018-11-28 22:29:48, POST, /REVIEW_1/api/add_reply, HTTP/1.1, 303, 0.045000
127.0.0.1, 2018-11-28 22:29:48, GET, /REVIEW_1/default/user/not_authorized, HTTP/1.1, 403, 0.046000
127.0.0.1, 2018-11-28 22:29:48, POST, /REVIEW_1/api/add_reply, HTTP/1.1, 303, 0.045000
127.0.0.1, 2018-11-28 22:29:48, GET, /REVIEW_1/default/user/not_authorized, HTTP/1.1, 403, 0.053000
127.0.0.1, 2018-11-28 22:29:48, POST, /REVIEW_1/api/add_reply, HTTP/1.1, 303, 0.046000
127.0.0.1, 2018-11-28 22:29:48, GET, /REVIEW_1/default/user/not_authorized, HTTP/1.1, 403, 0.021000
127.0.0.1, 2018-11-28 22:29:49, POST, /REVIEW_1/api/add_reply, HTTP/1.1, 303, 0.043000
